series,episode,baker,result,signature_handshake,technical,showstopper_handshake,signature,signature_ingredients,showstopper,showstopper_ingredients
3,1,Brendan,IN,No,10,No,,,,
3,1,Cathryn,IN,No,5,No,,,,
3,1,Danny,IN,No,7,No,,,,
3,1,James,IN,No,2,No,,,,
3,1,John,IN,No,11,No,,,,
3,1,Manisha,IN,No,6,No,,,,
3,1,Natasha,OUT,No,12,No,,,,
3,1,Peter,IN,No,3,No,,,,
3,1,Ryan,IN,No,8,No,,,,
3,1,Sarah-Jane,IN,No,1,No,,,,
3,1,Stuart,IN,No,9,No,,,,
3,1,Victoria,STAR BAKER,No,4,No,,,,
3,2,Brendan,IN,No,4,No,,,,
3,2,Cathryn,IN,No,8,No,,,,
3,2,Danny,IN,No,3,No,,,,
3,2,James,IN,No,2,No,,,,
3,2,John,STAR BAKER,No,1,No,,,,
3,2,Manisha,IN,No,6,No,,,,
3,2,Natasha,NA,NA,NA,NA,,,,
3,2,Peter,OUT,No,11,No,,,,
3,2,Ryan,IN,No,5,No,,,,
3,2,Sarah-Jane,IN,No,10,No,,,,
3,2,Stuart,IN,No,9,No,,,,
3,2,Victoria,IN,No,7,No,,,,
3,3,Brendan,IN,No,9,No,,,,
3,3,Cathryn,IN,No,3,No,,,,
3,3,Danny,IN,No,2,No,,,,
3,3,James,STAR BAKER,No,1,No,,,,
3,3,John,IN,No,6,No,,,,
3,3,Manisha,IN,No,10,No,,,,
3,3,Natasha,NA,NA,NA,NA,,,,
3,3,Peter,NA,NA,NA,NA,,,,
3,3,Ryan,IN,No,5,No,,,,
3,3,Sarah-Jane,IN,No,8,No,,,,
3,3,Stuart,IN,No,7,No,,,,
3,3,Victoria,OUT,No,4,No,,,,
3,4,Brendan,STAR BAKER,No,1,No,,,,
3,4,Cathryn,IN,No,3,No,,,,
3,4,Danny,IN,No,2,No,,,,
3,4,James,IN,No,5,No,,,,
3,4,John,IN,No,6,No,,,,
3,4,Manisha,IN,No,9,No,,,,
3,4,Natasha,NA,NA,NA,NA,,,,
3,4,Peter,NA,NA,NA,NA,,,,
3,4,Ryan,IN,No,7,No,,,,
3,4,Sarah-Jane,IN,No,4,No,,,,
3,4,Stuart,OUT,No,8,No,,,,
3,4,Victoria,NA,NA,NA,NA,,,,
3,5,Brendan,IN,No,3,No,,,,
3,5,Cathryn,IN,No,1,No,,,,
3,5,Danny,IN,No,7,No,,,,
3,5,James,IN,No,6,No,,,,
3,5,John,IN,No,2,No,,,,
3,5,Manisha,OUT,No,5,No,,,,
3,5,Natasha,NA,NA,NA,NA,,,,
3,5,Peter,NA,NA,NA,NA,,,,
3,5,Ryan,STAR BAKER,No,8,No,,,,
3,5,Sarah-Jane,IN,No,4,No,,,,
3,5,Stuart,NA,NA,NA,NA,,,,
3,5,Victoria,NA,NA,NA,NA,,,,
3,6,Brendan,STAR BAKER,No,1,No,,,,
3,6,Cathryn,IN,No,3,No,,,,
3,6,Danny,IN,No,2,No,,,,
3,6,James,IN,No,7,No,,,,
3,6,John,IN,No,5,No,,,,
3,6,Manisha,NA,NA,NA,NA,,,,
3,6,Natasha,NA,NA,NA,NA,,,,
3,6,Peter,NA,NA,NA,NA,,,,
3,6,Ryan,IN,No,6,No,,,,
3,6,Sarah-Jane,IN,No,4,No,,,,
3,6,Stuart,NA,NA,NA,NA,,,,
3,6,Victoria,NA,NA,NA,NA,,,,
