season,ep1,ep2,ep3,ep4,ep5,ep6,ep7,ep8,ep9,ep10
2,Cake,Tarts,Bread,Biscuits,Pies,Desserts,Patisserie,Final,NA,NA
3,Cake,Bread,Tarts,Desserts,Pies,Puddings,Sweet Dough,Bicuits,Patisserie,Final
4,Cake,Bread,Desserts,Pies and Tarts,Biscuits and Traybakes,Sweet Dough,Pastry,Alternative Ingredients,French,Final
5,Cake,Biscuits,Bread,Desserts,Pies and Tarts,European Cakes,Pastry,Advanced Dough,Patisserie,Final
6,Cake,Biscuits,Bread,Desserts,Alternative Ingredients,Pastry,Victorian,Patisserie,Chocolate,Final
7,Cake,Biscuits,Bread,Batter,Pastry,Botanical,Desserts,Tudor,Patisserie,Final
8,Cake,Biscuits,Bread,Caramel,Puddings,Pastry,Italian,Forgotten Bakes,Patisserie,Final
9,Cake,Biscuits,Bread,Desserts,Spice,Pastry,Vegan,Danish,Patisserie,Final
10,Cake,Biscuits,Bread,Dairy,The Roaring Twenties,Desserts,Festivals,Pastry,Patisserie,Final
11,Cake,Biscuits,Bread,Chocolate,Pastry,Japanese,The 80s,Desserts,Patisserie,Final
12,Cake,Biscuits,Bread,Desserts,German,Pastry,Caramel,Free-form,Patisserie,Final
13,Cake,Biscuits,Bread,Maxican,Desserts,Halloween,Custard,,,Final
